date,candidate_trades,errors,full_1x_losses,full_1x_max_open,full_1x_pnl,full_1x_return_pct,full_1x_trades,full_1x_wins,full_2x_losses,full_2x_max_open,full_2x_pnl,full_2x_return_pct,full_2x_trades,full_2x_wins,full_3x_losses,full_3x_max_open,full_3x_pnl,full_3x_return_pct,full_3x_trades,full_3x_wins,portfolio_1x_losses,portfolio_1x_max_open,portfolio_1x_pnl,portfolio_1x_return_pct,portfolio_1x_trades,portfolio_1x_wins,portfolio_2x_losses,portfolio_2x_max_open,portfolio_2x_pnl,portfolio_2x_return_pct,portfolio_2x_trades,portfolio_2x_wins,portfolio_3x_losses,portfolio_3x_max_open,portfolio_3x_pnl,portfolio_3x_return_pct,portfolio_3x_trades,portfolio_3x_wins,quality_1x_losses,quality_1x_max_open,quality_1x_pnl,quality_1x_return_pct,quality_1x_trades,quality_1x_wins,quality_2x_losses,quality_2x_max_open,quality_2x_pnl,quality_2x_return_pct,quality_2x_trades,quality_2x_wins,quality_3x_losses,quality_3x_max_open,quality_3x_pnl,quality_3x_return_pct,quality_3x_trades,quality_3x_wins,symbols
2026-09-11,100,0,49,50,52.17863916114829,0.5217863916114829,100,51,49,50,104.35727832229658,1.0435727832229658,100,51,49,50,156.53591748344488,1.5653591748344489,100,51,31,20,98.7005126550921,0.9870051265509217,61,30,31,20,197.40102531017874,1.9740102531017767,61,30,31,20,296.1015379652763,2.961015379652765,61,30,18,31,52.876760113639854,0.5287676011363985,41,23,18,31,105.75352022727971,1.057535202272797,41,23,18,31,158.63028034091948,1.5863028034091948,41,23,58
2026-09-12,74,0,30,38,193.47727453119145,1.9347727453119146,74,44,30,38,386.9545490623829,3.869545490623829,74,44,30,38,580.4318235935743,5.804318235935743,74,44,17,20,443.3387891425991,4.433387891425999,47,30,17,20,886.6775782852001,8.866775782851999,47,30,17,20,1330.016367427801,13.300163674278021,47,30,11,15,594.2654685741358,5.942654685741357,17,6,11,15,1188.5309371482715,11.885309371482714,17,6,11,15,1782.7964057224074,17.827964057224076,17,6,41
2026-09-13,81,0,44,31,-96.23804579385245,-0.9623804579385244,81,37,44,31,-192.4760915877049,-1.924760915877049,81,37,44,31,-288.71413738155735,-2.887141373815574,81,37,33,20,-49.516003090955564,-0.4951600309095583,65,32,33,20,-99.03200618191477,-0.9903200618191499,65,32,33,20,-148.54800927287033,-1.4854800927287082,65,32,7,10,-32.11457095191694,-0.3211457095191694,13,6,7,10,-64.22914190383388,-0.6422914190383388,13,6,7,10,-96.34371285575082,-0.9634371285575082,13,6,35
2026-09-14,106,0,47,51,71.37116844428117,0.7137116844428116,106,59,47,51,142.74233688856233,1.4274233688856233,106,59,47,51,214.1135053328435,2.141135053328435,106,59,25,20,17.065482218740726,0.17065482218741046,50,25,25,20,34.13096443748509,0.3413096443748431,50,25,25,20,51.19644665622582,0.5119644665622536,50,25,13,29,70.37113001431004,0.7037113001431003,32,19,13,29,140.74226002862008,1.4074226002862007,32,19,13,29,211.11339004293018,2.1111339004293015,32,19,56
2026-09-15,78,0,30,30,94.73845127017296,0.9473845127017296,78,48,30,30,189.47690254034592,1.8947690254034593,78,48,30,30,284.2153538105189,2.842153538105189,78,48,26,20,22.882646676398508,0.2288264667639872,58,32,26,20,45.765293352798835,0.45765293352799663,58,32,26,20,68.64794002919552,0.6864794002919616,58,32,3,12,-26.98071109524083,-0.26980711095240834,16,13,3,12,-53.96142219048166,-0.5396142219048167,16,13,3,12,-80.94213328572239,-0.809421332857224,16,13,38
2026-09-16,93,0,47,34,85.39153497564394,0.8539153497564393,93,46,47,34,170.78306995128787,1.7078306995128787,93,46,47,34,256.1746049269318,2.561746049269318,93,46,32,20,77.81710472940904,0.7781710472940961,66,34,32,20,155.63420945881626,1.55634209458817,66,34,32,20,233.45131418822348,2.334513141882244,66,34,7,13,-159.939392353187,-1.5993939235318702,21,14,7,13,-319.878784706374,-3.1987878470637403,21,14,7,13,-479.81817705956115,-4.798181770595612,21,14,37
2026-09-17,97,0,31,56,178.2390254334744,1.7823902543347443,97,66,31,56,356.4780508669488,3.5647805086694886,97,66,31,56,534.7170763004233,5.347170763004233,97,66,12,20,264.35721442587237,2.6435721442587212,39,27,12,20,528.7144288517447,5.2871442885174424,39,27,12,20,793.0716432776153,7.930716432776164,39,27,8,36,227.0391370563863,2.270391370563863,41,33,8,36,454.0782741127726,4.540782741127726,41,33,8,36,681.1174111691587,6.811174111691587,41,33,64
2026-09-18,72,0,28,27,190.3827913821479,1.9038279138214789,72,44,28,27,380.7655827642958,3.8076558276429577,72,44,28,27,571.1483741464436,5.711483741464436,72,44,21,20,285.4273840530641,2.85427384053063,60,39,21,20,570.8547681061245,5.708547681061238,60,39,21,20,856.2821521591886,8.56282152159189,60,39,5,10,383.9992078419404,3.839992078419404,16,11,5,10,767.9984156838808,7.679984156838808,16,11,5,10,1151.9976235258214,11.519976235258214,16,11,32
2026-09-19,87,0,42,46,-18.688092008899172,-0.18688092008899174,87,45,42,46,-37.376184017798344,-0.3737618401779835,87,45,42,46,-56.06427602669752,-0.5606427602669752,87,45,16,20,-22.259584457855453,-0.22259584457855475,41,25,16,20,-44.51916891570727,-0.4451916891570762,41,25,16,20,-66.77875337356454,-0.667787533735642,41,25,15,25,-0.9632788735653386,-0.009632788735653387,26,11,15,25,-1.9265577471306772,-0.019265577471306774,26,11,15,25,-2.8898366206960517,-0.028898366206960516,26,11,50
2026-09-20,102,0,40,54,73.97712341462906,0.7397712341462906,102,62,40,54,147.95424682925812,1.4795424682925813,102,62,40,54,221.9313702438872,2.219313702438872,102,62,19,20,175.58626041041316,1.7558626041041414,47,28,19,20,351.1725208208172,3.511725208208172,47,28,19,20,526.7587812312286,5.267587812312291,47,28,15,29,28.37097625530913,0.28370976255309127,33,18,15,29,56.74195251061826,0.5674195251061825,33,18,15,29,85.11292876592726,0.8511292876592725,33,18,56
2026-09-21,86,0,38,41,50.81018834198598,0.5081018834198597,86,48,38,41,101.62037668397195,1.0162037668397195,86,48,38,41,152.43056502595795,1.5243056502595795,86,48,20,20,112.5609081663315,1.1256090816633257,46,26,20,20,225.12181633266118,2.251218163326607,46,26,20,20,337.68272449899086,3.3768272449899106,46,26,11,19,179.79998298556268,1.7979998298556268,27,16,11,19,359.59996597112536,3.5959996597112536,27,16,11,19,539.3999489566879,5.3939994895668795,27,16,44
2026-09-22,74,0,34,30,54.543553943850426,0.5454355394385043,74,40,34,30,109.08710788770085,1.0908710788770086,74,40,34,30,163.6306618315513,1.6363066183155128,74,40,25,20,60.05976864354125,0.6005976864354112,53,28,25,20,120.11953728708068,1.2011953728708002,53,28,25,20,180.1793059306201,1.8017930593062115,53,28,11,14,259.2835482094027,2.592835482094027,17,6,11,14,518.5670964188054,5.185670964188054,17,6,11,14,777.8506446282081,7.778506446282081,17,6,34
2026-09-23,111,0,44,54,48.783812218252606,0.4878381221825261,111,67,44,54,97.56762443650521,0.9756762443650522,111,67,44,54,146.3514366547578,1.463514366547578,111,67,27,20,-34.80009632549627,-0.34800096325495744,62,35,27,20,-69.6001926509889,-0.6960019265098927,62,35,27,20,-104.40028897648517,-1.0440028897648501,62,35,19,34,10.08107678318909,0.10081076783189089,42,23,19,34,20.16215356637818,0.20162153566378177,42,23,19,34,30.243230349567263,0.3024323034956726,42,23,62
2026-09-24,91,0,52,39,-195.5222567098775,-1.955222567098775,91,39,52,39,-391.044513419755,-3.91044513419755,91,39,52,39,-586.5667701296326,-5.865667701296326,91,39,32,20,-296.86206710164515,-2.968620671016453,48,16,32,20,-593.7241342032885,-5.937241342032884,48,16,32,20,-890.5862013049318,-8.905862013049315,48,16,17,21,-193.51134885653548,-1.9351134885653547,24,7,17,21,-387.02269771307095,-3.8702269771307094,24,7,17,21,-580.5340465696064,-5.805340465696064,24,7,48
2026-09-25,83,0,37,41,66.33344135018854,0.6633344135018854,83,46,37,41,132.66688270037707,1.3266688270037708,83,46,37,41,199.00032405056564,1.9900032405056562,83,46,25,20,196.82150005221956,1.9682150005221999,53,28,25,20,393.64300010444094,3.9364300010443998,53,28,25,20,590.464500156655,5.904645001566555,53,28,6,18,125.72734155877092,1.2572734155877092,21,15,6,18,251.45468311754183,2.5145468311754184,21,15,6,18,377.1820246763129,3.7718202467631285,21,15,46
